term_id,japanese,english,german,french,spanish,portuguese,italian,czech,polish,turkish,vietnamese,thai,indonesian,korean,chinese_simplified,chinese_traditional,mexican_spanish,domain,locked
TERM_056,フート取付け,foot mounting,Fußbefestigung,fixation par pied,montaje con pies,montagem com pés,fissaggio a piedini,nožková montáž,montaż stopkowy,ayak montajı,lắp chân,ติดตั้งแบบขาตั้ง,SEM_056,풋 마운팅,脚座安装,腳座安裝,montaje con pies,mounting,true
TERM_057,フランジ取付け,flange mounting,Flanschbefestigung,fixation par bride,montaje con brida,montagem com flange,fissaggio a flangia,přírubová montáž,montaż kołnierzowy,flanş montajı,lắp mặt bích,ติดตั้งแบบแฟลนจ์,SEM_057,플랜지 마운팅,法兰安装,法蘭安裝,montaje con brida,mounting,true
TERM_058,トラニオン取付け,trunnion mounting,Gelenkbefestigung,fixation à tourillon,montaje con muñones,montagem com munhão,fissaggio a perni,čepová montáž,montaż sworzniowy,muylu montaj,lắp trục quay,ติดตั้งแบบหมุด,SEM_058,트러니언 마운팅,耳轴安装,耳軸安裝,montaje con muñones,mounting,true
TERM_059,クッション,cushion,Dämpfung,amortisseur,amortiguación,amortecimento,ammortizzazione,tlumení,amortyzacja,amortisör,đệm,คุชชั่น,SEM_059,쿠션,缓冲,緩衝,amortiguación,cushioning,true
TERM_060,ショックアブソーバ,shock absorber,Stoßdämpfer,amortisseur de choc,amortiguador de choque,amortecedor de choque,ammortizzatore,tlumič nárazů,amortyzator wstrząsów,şok emici,giảm chấn,ตัวดูดซับแรงกระแทก,SEM_060,쇼크 업소버,缓冲器,緩衝器,amortiguador de choque,cushioning,true
TERM_061,チェックバルブ,check valve,Rückschlagventil,clapet anti-retour,válvula de retención,válvula de retenção,valvola di non ritorno,zpětný ventil,zawór zwrotny,çek valf,van một chiều,วาล์วเช็ค,SEM_061,체크 밸브,止回阀,止回閥,válvula de retención,valves,true
TERM_062,シャトルバルブ,shuttle valve,Wechselventil,valve navette,válvula lanzadera,válvula alternadora,valvola navetta,přepínací ventil,zawór przełączający,shuttle valf,van con thoi,วาล์วสับเปลี่ยน,SEM_062,셔틀 밸브,梭阀,梭閥,válvula lanzadera,valves,true
TERM_063,リリーフバルブ,relief valve,Überdruckventil,soupape de sûreté,válvula de alivio,válvula de alívio,valvola di sicurezza,pojistný ventil,zawór przelewowy,tahliye valfi,van giảm áp,วาล์วบรรเทา,SEM_063,릴리프 밸브,溢流阀,溢流閥,válvula de alivio,valves,true
TERM_064,方向制御弁,directional control valve,Wegeventil,distributeur,válvula direccional,válvula direcional,valvola direzionale,rozvaděč,zawór kierunkowy,yön kontrol valfi,van điều khiển hướng,วาล์วควบคุมทิศทาง,SEM_064,방향 제어 밸브,方向控制阀,方向控制閥,válvula direccional,valves,true
TERM_065,流量制御弁,flow control valve,Stromregelventil,régulateur de débit,válvula de control de flujo,válvula de controle de fluxo,valvola di regolazione del flusso,regulační ventil průtoku,zawór regulacji przepływu,akış kontrol valfi,van điều khiển lưu lượng,วาล์วควบคุมอัตราการไหล,SEM_065,유량 제어 밸브,流量控制阀,流量控制閥,válvula de control de flujo,valves,true
TERM_066,圧力制御弁,pressure control valve,Druckregelventil,régulateur de pression,válvula de control de presión,válvula de controle de pressão,valvola di regolazione della pressione,tlakový regulační ventil,zawór regulacji ciśnienia,basınç kontrol valfi,van điều khiển áp suất,วาล์วควบคุมความดัน,SEM_066,압력 제어 밸브,压力控制阀,壓力控制閥,válvula de control de presión,valves,true
TERM_067,ワンタッチ継手,one-touch fitting,Steckverschraubung,raccord instantané,racor rápido,conexão rápida,raccordo rapido,rychlospojka,złączka szybkozłączna,tek dokunuşlu bağlantı,khớp nối nhanh,ข้อต่อแบบหนึ่งสัมผัส,SEM_067,원터치 이음쇠,快插接头,快插接頭,racor rápido,connectors,true
TERM_068,ねじサイズ,thread size,Gewindegröße,taille de filetage,tamaño de rosca,tamanho de rosca,dimensione filettatura,velikost závitu,rozmiar gwintu,diş boyutu,kích thước ren,ขนาดเกลียว,SEM_068,나사 크기,螺纹尺寸,螺紋尺寸,tamaño de rosca,specifications,true
TERM_069,Rcねじ,Rc thread,Rc-Gewinde,filetage Rc,rosca Rc,rosca Rc,filettatura Rc,závit Rc,gwint Rc,Rc dişi,ren Rc,เกลียว Rc,SEM_069,Rc 나사,Rc螺纹,Rc螺紋,rosca Rc,specifications,true
TERM_070,NPTねじ,NPT thread,NPT-Gewinde,filetage NPT,rosca NPT,rosca NPT,filettatura NPT,závit NPT,gwint NPT,NPT dişi,ren NPT,เกลียว NPT,SEM_070,NPT 나사,NPT螺纹,NPT螺紋,rosca NPT,specifications,true
TERM_071,推力,thrust force,Schubkraft,force de poussée,fuerza de empuje,força de empuxo,forza di spinta,tlaková síla,siła nacisku,itme kuvveti,lực đẩy,แรงดัน,SEM_071,추력,推力,推力,fuerza de empuje,performance,true
TERM_072,引張力,pulling force,Zugkraft,force de traction,fuerza de tracción,força de tração,forza di trazione,tažná síla,siła ciągu,çekme kuvveti,lực kéo,แรงดึง,SEM_072,인장력,拉力,拉力,fuerza de tracción,performance,true
TERM_073,応答時間,response time,Ansprechzeit,temps de réponse,tiempo de respuesta,tempo de resposta,tempo di risposta,doba odezvy,czas odpowiedzi,tepki süresi,thời gian đáp ứng,เวลาตอบสนอง,SEM_073,응답 시간,响应时间,響應時間,tiempo de respuesta,performance,true
TERM_074,サイクル時間,cycle time,Zykluszeit,temps de cycle,tiempo de ciclo,tempo de ciclo,tempo di ciclo,doba cyklu,czas cyklu,çevrim süresi,thời gian chu kỳ,เวลาวงจร,SEM_074,사이클 시간,循环时间,循環時間,tiempo de ciclo,performance,true
TERM_075,耐久回数,endurance cycles,Lebensdauer,cycles d'endurance,ciclos de resistencia,ciclos de resistência,cicli di resistenza,počet cyklů,liczba cykli,dayanma döngüleri,chu kỳ bền,จำนวนรอบการใช้งาน,SEM_075,내구 회수,耐久次数,耐久次數,ciclos de resistencia,performance,true
TERM_076,チューブ,tube,Schlauch,tube,tubo,tubo,tubo,hadice,wąż,hortum,ống,ท่อ,SEM_076,튜브,管,管,tubo,tubing,true
TERM_077,ナイロンチューブ,nylon tube,Nylonschlauch,tube en nylon,tubo de nylon,tubo de nylon,tubo in nylon,nylonová hadice,wąż nylonowy,naylon hortum,ống nylon,ท่อไนลอน,SEM_077,나일론 튜브,尼龙管,尼龍管,tubo de nylon,tubing,true
TERM_078,ウレタンチューブ,polyurethane tube,Polyurethanschlauch,tube en polyuréthane,tubo de poliuretano,tubo de poliuretano,tubo in poliuretano,polyuretanová hadice,wąż poliuretanowy,poliüretan hortum,ống polyurethane,ท่อพอลียูรีเทน,SEM_078,우레탄 튜브,聚氨酯管,聚氨酯管,tubo de poliuretano,tubing,true
TERM_079,外径,outer diameter,Außendurchmesser,diamètre extérieur,diámetro exterior,diâmetro externo,diametro esterno,vnější průměr,średnica zewnętrzna,dış çap,đường kính ngoài,เส้นผ่านศูนย์กลางภายนอก,SEM_079,외경,外径,外徑,diámetro exterior,specifications,true
TERM_080,内径,inner diameter,Innendurchmesser,diamètre intérieur,diámetro interior,diâmetro interno,diametro interno,vnitřní průměr,średnica wewnętrzna,iç çap,đường kính trong,เส้นผ่านศูนย์กลางภายใน,SEM_080,내경,内径,內徑,diámetro interior,specifications,true
TERM_081,複動シリンダ,double acting cylinder,doppeltwirkender Zylinder,vérin double effet,cilindro de doble efecto,cilindro de dupla ação,cilindro a doppio effetto,dvojčinný válec,cylinder dwustronnego działania,çift etkili silindir,xi lanh tác dụng kép,ซิลินเดอร์แบบสองทาง,SEM_081,복동 실린더,双作用气缸,雙作用氣缸,cilindro de doble efecto,cylinder_types,true
TERM_082,単動シリンダ,single acting cylinder,einfachwirkender Zylinder,vérin simple effet,cilindro de simple efecto,cilindro de ação simples,cilindro a semplice effetto,jednočinný válec,cylinder jednostronnego działania,tek etkili silindir,xi lanh tác dụng đơn,ซิลินเดอร์แบบทางเดียว,SEM_082,단동 실린더,单作用气缸,單作用氣缸,cilindro de simple efecto,cylinder_types,true
TERM_083,ロッドレスシリンダ,rodless cylinder,kolbenstangenloser Zylinder,vérin sans tige,cilindro sin vástago,cilindro sem haste,cilindro senza stelo,beztýčový válec,cylinder bez tłoczyska,rodsuz silindir,xi lanh không cần,ซิลินเดอร์ไร้ก้าน,SEM_083,로드리스 실린더,无杆气缸,無桿氣缸,cilindro sin vástago,cylinder_types,true
TERM_084,ガイド付きシリンダ,guided cylinder,geführter Zylinder,vérin guidé,cilindro guiado,cilindro guiado,cilindro guidato,vedený válec,cylinder prowadzony,kılavuzlu silindir,xi lanh dẫn hướng,ซิลินเดอร์มีตัวนำทาง,SEM_084,가이드 실린더,导杆气缸,導桿氣缸,cilindro guiado,cylinder_types,true
TERM_085,薄型シリンダ,compact cylinder,flacher Zylinder,vérin compact,cilindro compacto,cilindro compacto,cilindro compatto,kompaktní válec,cylinder płaski,kompakt silindir,xi lanh mỏng,ซิลินเดอร์แบบบาง,SEM_085,박형 실린더,薄型气缸,薄型氣缸,cilindro compacto,cylinder_types,true
TERM_086,リードスイッチ,reed switch,Reed-Kontakt,interrupteur à lames,interruptor de láminas,interruptor reed,interruttore reed,jazýčkový kontakt,przełącznik językowy,kamış anahtar,công tắc lưỡi gạt,สวิตช์รีด,SEM_086,리드 스위치,舌簧开关,舌簧開關,interruptor de láminas,electrical,true
TERM_087,リミットスイッチ,limit switch,Endschalter,interrupteur de fin de course,interruptor de límite,chave fim de curso,interruttore di fine corsa,koncový spínač,wyłącznik krańcowy,limit anahtarı,công tắc giới hạn,ลิมิตสวิตช์,SEM_087,리미트 스위치,限位开关,限位開關,interruptor de límite,electrical,true
TERM_088,コネクタ,connector,Stecker,connecteur,conector,conector,connettore,konektor,złącze,konnektör,đầu nối,ตัวเชื่อมต่อ,SEM_088,커넥터,连接器,連接器,conector,electrical,true
TERM_089,ケーブル,cable,Kabel,câble,cable,cabo,cavo,kabel,kabel,kablo,cáp,สายเคเบิล,SEM_089,케이블,电缆,電纜,cable,electrical,true
TERM_090,保護等級,protection rating,Schutzart,indice de protection,grado de protección,grau de proteção,grado di protezione,stupeň krytí,stopień ochrony,koruma sınıfı,mức độ bảo vệ,ระดับการป้องกัน,SEM_090,보호 등급,防护等级,防護等級,grado de protección,protection,true
TERM_091,IP等級,IP rating,IP-Schutzklasse,indice IP,clasificación IP,classificação IP,classe IP,IP třída,klasa IP,IP sınıfı,chỉ số IP,เกรด IP,SEM_091,IP 등급,IP等级,IP等級,clasificación IP,protection,true
TERM_092,流量,flow rate,Durchflussrate,débit,caudal,vazão,portata,průtok,natężenie przepływu,akış hızı,lưu lượng,อัตราการไหล,SEM_092,유량,流量,流量,caudal,flow,true
TERM_093,エア消費量,air consumption,Luftverbrauch,consommation d'air,consumo de aire,consumo de ar,consumo d'aria,spotřeba vzduchu,zużycie powietrza,hava tüketimi,tiêu thụ khí,การใช้อากาศ,SEM_093,공기 소비량,空气消耗量,空氣消耗量,consumo de aire,flow,true
TERM_094,許容横荷重,allowable lateral load,zulässige Querlast,charge latérale admissible,carga lateral admisible,carga lateral admissível,carico laterale ammissibile,přípustné příčné zatížení,dopuszczalne obciążenie poprzeczne,izin verilen yanal yük,tải ngang cho phép,น้ำหนักด้านข้างที่อนุญาต,SEM_094,허용 횡하중,允许横向载荷,允許橫向載荷,carga lateral admisible,specifications,true
TERM_095,許容偏心荷重,allowable eccentric load,zulässige exzentrische Last,charge excentrique admissible,carga excéntrica admisible,carga excêntrica admissível,carico eccentrico ammissibile,přípustné excentrické zatížení,dopuszczalne obciążenie mimośrodowe,izin verilen eksantrik yük,tải lệch tâm cho phép,น้ำหนักเยื้องศูนย์ที่อนุญาต,SEM_095,허용 편심 하중,允许偏心载荷,允許偏心載荷,carga excéntrica admisible,specifications,true
TERM_096,速度,speed,Geschwindigkeit,vitesse,velocidad,velocidade,velocità,rychlost,prędkość,hız,tốc độ,ความเร็ว,SEM_096,속도,速度,速度,velocidad,motion,true
TERM_097,位置決め,positioning,Positionierung,positionnement,posicionamiento,posicionamento,posizionamento,polohování,pozycjonowanie,konumlama,định vị,การกำหนดตำแหน่ง,SEM_097,위치 결정,定位,定位,posicionamiento,motion,true
TERM_098,停止精度,stopping accuracy,Haltegenauigkeit,précision d'arrêt,precisión de parada,precisão de parada,precisione di arresto,přesnost zastavení,dokładność zatrzymania,durma hassasiyeti,độ chính xác dừng,ความแม่นยำในการหยุด,SEM_098,정지 정밀도,停止精度,停止精度,precisión de parada,motion,true
TERM_099,繰返し精度,repeatability,Wiederholgenauigkeit,répétabilité,repetibilidad,repetibilidade,ripetibilità,opakovatelnost,powtarzalność,tekrarlanabilirlik,khả năng lặp lại,ความสามารถในการทำซ้ำ,SEM_099,반복 정밀도,重复精度,重複精度,repetibilidad,motion,true
TERM_100,省エネルギー,energy saving,Energieeinsparung,économie d'énergie,ahorro de energía,economia de energia,risparmio energetico,úspora energie,oszczędność energii,enerji tasarrufu,tiết kiệm năng lượng,ประหยัดพลังงาน,SEM_100,에너지 절약,节能,節能,ahorro de energía,features,true
TERM_101,コンパクト,compact,kompakt,compact,compacto,compacto,compatto,kompaktní,kompaktowy,kompakt,nhỏ gọn,ขนาดเล็ก,SEM_101,컴팩트,紧凑,緊湊,compacto,features,true
TERM_102,軽量,lightweight,leicht,léger,ligero,leve,leggero,lehký,lekki,hafif,nhẹ,น้ำหนักเบา,SEM_102,경량,轻量,輕量,ligero,features,true
TERM_103,高剛性,high rigidity,hohe Steifigkeit,rigidité élevée,alta rigidez,alta rigidez,elevata rigidità,vysoká tuhost,wysoka sztywność,yüksek rijitlik,độ cứng cao,ความแข็งแรงสูง,SEM_103,고강성,高刚性,高剛性,alta rigidez,features,true
TERM_104,長寿命,long life,lange Lebensdauer,longue durée de vie,larga vida útil,longa vida útil,lunga durata,dlouhá životnost,długa żywotność,uzun ömür,tuổi thọ dài,อายุการใช้งานยาว,SEM_104,장수명,长寿命,長壽命,larga vida útil,features,true
TERM_105,メンテナンスフリー,maintenance-free,wartungsfrei,sans maintenance,libre de mantenimiento,sem manutenção,senza manutenzione,bezúdržbový,bezobsługowy,bakımsız,không cần bảo trì,ไม่ต้องบำรุงรักษา,SEM_105,무보수,免维护,免維護,libre de mantenimiento,features,true
TERM_106,電圧,voltage,Spannung,tension,voltaje,tensão,tensione,napětí,napięcie,voltaj,điện áp,แรงดันไฟฟ้า,SEM_106,전압,电压,電壓,voltaje,electrical,true
TERM_107,電流,current,Strom,courant,corriente,corrente,corrente,proud,prąd,akım,dòng điện,กระแสไฟฟ้า,SEM_107,전류,电流,電流,corriente,electrical,true
TERM_108,消費電力,power consumption,Leistungsaufnahme,consommation électrique,consumo de energía,consumo de energia,consumo di energia,příkon,pobór mocy,güç tüketimi,tiêu thụ điện,การใช้พลังงาน,SEM_108,소비 전력,功耗,功耗,consumo de energía,electrical,true
TERM_109,AC電源,AC power supply,Wechselstromversorgung,alimentation CA,fuente de alimentación CA,fonte de alimentação CA,alimentazione CA,napájení AC,zasilanie AC,AC güç kaynağı,nguồn điện AC,แหล่งจ่ายไฟ AC,SEM_109,AC 전원,交流电源,交流電源,fuente de alimentación CA,electrical,true
TERM_110,DC電源,DC power supply,Gleichstromversorgung,alimentation CC,fuente de alimentación CC,fonte de alimentação CC,alimentazione CC,napájení DC,zasilanie DC,DC güç kaynağı,nguồn điện DC,แหล่งจ่ายไฟ DC,SEM_110,DC 전원,直流电源,直流電源,fuente de alimentación CC,electrical,true
TERM_111,PLC,PLC,SPS,automate programmable,PLC,CLP,PLC,PLC,sterownik PLC,PLC,PLC,พีแอลซี,SEM_111,PLC,可编程控制器,可程式控制器,PLC,control,true
